period,sale_status,deadline_time,sale_time,match_num,league,start_time,home_team,away_team,half_win,half_draw,half_lose,full_win,full_draw,full_lose
24216期,在售奖期,2024-11-01 22:00:00,,1,英冠,2024-11-02,卢 顿,西布罗,3,1,0,3,1,0
24216期,在售奖期,2024-11-01 22:00:00,,2,德甲,2024-11-02,勒 沃,斯图加,3,1,0,3,1,0
24216期,在售奖期,2024-11-01 22:00:00,,3,西甲,2024-11-02,阿拉维,马洛卡,3,1,0,3,1,0
24216期,在售奖期,2024-11-01 22:00:00,,4,法甲,2024-11-02,摩纳哥,昂 热,3,1,0,3,1,0
24216期,在售奖期,2024-11-01 22:00:00,,5,法甲,2024-11-02,里 尔,里 昂,3,1,0,3,1,0
24216期,在售奖期,2024-11-01 22:00:00,,6,葡超,2024-11-02,里斯本,阿马多,3,1,0,3,1,0
24217期,在售奖期,2024-11-02 22:00:00,,1,英超,2024-11-02,利物浦,布赖顿,3,1,0,3,1,0
24217期,在售奖期,2024-11-02 22:00:00,,2,英超,2024-11-03,狼 队,水晶宫,3,1,0,3,1,0
24217期,在售奖期,2024-11-02 22:00:00,,3,德甲,2024-11-02,拜 仁,柏林联,3,1,0,3,1,0
24217期,在售奖期,2024-11-02 22:00:00,,4,德甲,2024-11-03,多 特,莱比锡,3,1,0,3,1,0
24217期,在售奖期,2024-11-02 22:00:00,,5,意甲,2024-11-03,乌迪内,尤 文,3,1,0,3,1,0
24217期,在售奖期,2024-11-02 22:00:00,,6,意甲,2024-11-03,蒙 扎,AC米兰,3,1,0,3,1,0
24218期,在售奖期,2024-11-03 21:30:00,,1,英超,2024-11-03,热 刺,维 拉,3,1,0,3,1,0
24218期,在售奖期,2024-11-03 21:30:00,,2,英超,2024-11-04,曼 联,切尔西,3,1,0,3,1,0
24218期,在售奖期,2024-11-03 21:30:00,,3,意甲,2024-11-03,都 灵,佛罗伦,3,1,0,3,1,0
24218期,在售奖期,2024-11-03 21:30:00,,4,意甲,2024-11-04,维罗纳,罗 马,3,1,0,3,1,0
24218期,在售奖期,2024-11-03 21:30:00,,5,西甲,2024-11-03,巴 萨,西班人,3,1,0,3,1,0
24218期,在售奖期,2024-11-03 21:30:00,,6,西甲,2024-11-04,塞维利,社 会,3,1,0,3,1,0
24219期,在售奖期,2024-11-04 22:00:00,,1,英超,2024-11-05,富勒姆,布伦特,3,1,0,3,1,0
24219期,在售奖期,2024-11-04 22:00:00,,2,意甲,2024-11-05,恩波利,科 莫,3,1,0,3,1,0
24219期,在售奖期,2024-11-04 22:00:00,,3,意甲,2024-11-05,帕尔马,热那亚,3,1,0,3,1,0
24219期,在售奖期,2024-11-04 22:00:00,,4,意甲,2024-11-05,拉齐奥,卡利亚,3,1,0,3,1,0
24219期,在售奖期,2024-11-04 22:00:00,,5,西甲,2024-11-05,塞尔塔,赫塔费,3,1,0,3,1,0
24219期,在售奖期,2024-11-04 22:00:00,,6,葡超,2024-11-05,葡国民,圣克拉,3,1,0,3,1,0
24220期,即将开售,,2024-11-03 20:00:00,1,欧冠,2024-11-06,凯尔特,莱比锡,3,1,0,3,1,0
24220期,即将开售,,2024-11-03 20:00:00,2,欧冠,2024-11-06,多 特,格拉茨,3,1,0,3,1,0
24220期,即将开售,,2024-11-03 20:00:00,3,欧冠,2024-11-06,里 尔,尤 文,3,1,0,3,1,0
24220期,即将开售,,2024-11-03 20:00:00,4,欧冠,2024-11-06,利物浦,勒 沃,3,1,0,3,1,0
24220期,即将开售,,2024-11-03 20:00:00,5,欧冠,2024-11-06,皇 马,AC米兰,3,1,0,3,1,0
24220期,即将开售,,2024-11-03 20:00:00,6,欧冠,2024-11-06,里斯本,曼 城,3,1,0,3,1,0
24221期,即将开售,,2024-11-03 20:00:00,1,欧冠,2024-11-07,布鲁日,维 拉,3,1,0,3,1,0
24221期,即将开售,,2024-11-03 20:00:00,2,欧冠,2024-11-07,拜 仁,本菲卡,3,1,0,3,1,0
24221期,即将开售,,2024-11-03 20:00:00,3,欧冠,2024-11-07,红 星,巴 萨,3,1,0,3,1,0
24221期,即将开售,,2024-11-03 20:00:00,4,欧冠,2024-11-07,国 米,阿森纳,3,1,0,3,1,0
24221期,即将开售,,2024-11-03 20:00:00,5,欧冠,2024-11-07,日尔曼,马竞技,3,1,0,3,1,0
24221期,即将开售,,2024-11-03 20:00:00,6,欧冠,2024-11-07,斯图加,亚特兰,3,1,0,3,1,0
24222期,即将开售,,2024-11-03 20:00:00,1,欧罗巴,2024-11-08,加拉塔,热 刺,3,1,0,3,1,0
24222期,即将开售,,2024-11-03 20:00:00,2,欧罗巴,2024-11-08,圣吉联,罗 马,3,1,0,3,1,0
24222期,即将开售,,2024-11-03 20:00:00,3,欧罗巴,2024-11-08,阿尔克,费内巴,3,1,0,3,1,0
24222期,即将开售,,2024-11-03 20:00:00,4,欧罗巴,2024-11-08,霍芬海,里 昂,3,1,0,3,1,0
24222期,即将开售,,2024-11-03 20:00:00,5,欧罗巴,2024-11-08,拉齐奥,波尔图,3,1,0,3,1,0
24222期,即将开售,,2024-11-03 20:00:00,6,欧罗巴,2024-11-08,曼 联,塞萨洛,3,1,0,3,1,0
