period,deadline,match_num,league,start_time,home_team,away_team,bet_win,bet_draw,bet_lose
24168,2024-10-29 22:00:00,1,德国杯,2024-10-30,奥格斯,沙尔克,3,1,0
24168,2024-10-29 22:00:00,2,德国杯,2024-10-30,勒 沃,埃沃斯,3,1,0
24168,2024-10-29 22:00:00,3,德国杯,2024-10-30,莱比锡,圣保利,3,1,0
24168,2024-10-29 22:00:00,4,德国杯,2024-10-30,沃尔夫,多 特,3,1,0
24168,2024-10-29 22:00:00,5,德国杯,2024-10-31,弗赖堡,汉 堡,3,1,0
24168,2024-10-29 22:00:00,6,德国杯,2024-10-31,法兰克,门 兴,3,1,0
24168,2024-10-29 22:00:00,7,德国杯,2024-10-31,美因茨,拜 仁,3,1,0
24168,2024-10-29 22:00:00,8,意甲,2024-10-30,卡利亚,博洛尼,3,1,0
24168,2024-10-29 22:00:00,9,意甲,2024-10-30,莱 切,维罗纳,3,1,0
24168,2024-10-29 22:00:00,10,意甲,2024-10-30,AC米兰,那不勒,3,1,0
24168,2024-10-29 22:00:00,11,意甲,2024-10-31,恩波利,国 米,3,1,0
24168,2024-10-29 22:00:00,12,意甲,2024-10-31,威尼斯,乌迪内,3,1,0
24168,2024-10-29 22:00:00,13,意甲,2024-10-31,亚特兰,蒙 扎,3,1,0
24168,2024-10-29 22:00:00,14,意甲,2024-10-31,尤 文,帕尔马,3,1,0
